,State,Year, Debt at end of fiscal year,Capital outlay,Expenditure,General expenditure,General revenue,Insurance trust  revenue,Intergovernmental,License tax,Revenue,Selective sales tax,Tax,Correction,Education,Financial Aid,Health,Insurance benefits and repayments,Interest on debt,Interest on general debt,Intergovernmental,Miscellaneous general revenue,Natural Resources,Other taxes,Police protection,Transportation,Utilities,Welfare
21,ALASKA,1992,4941602,389682,5254925,4788127,5342507,958318,773106,80704,6327318,101286,1602937,{'Correction Total': 135804},{'Education Total': 1200990},"{'Assistance and Subsidies': 106839, 'Cash and Securities Total': 24529002}",{'Health Total Expenditure': 170885},390551,472114,449430,"{'Intergovernmental Expenditure': 1048860, 'Intergovernmental to Combined and Unallocable': 1160277}",2689036,"{'Natural Resources Construction': 236426, 'Parks': {'Parks Total Expenditure': 16829}}",1220922,52292,{'Highways': {'Highways Total Expenditure': 547162}},{'Utilities Current Operation': 2846879},{'Welfare Institution Total Expenditure': 507655}
22,ALASKA,1993,4426963,428896,5423008,4933907,6159665,1170688,904620,62951,7358035,99239,2227283,{'Correction Total': 135224},{'Education Total': 1266638},"{'Assistance and Subsidies': 135960, 'Cash and Securities Total': 26903529}",{'Health Total Expenditure': 173336},427892,424719,403214,"{'Intergovernmental Expenditure': 1086346, 'Intergovernmental to Combined and Unallocable': 1184451}",2759550,"{'Natural Resources Construction': 232631, 'Parks': {'Parks Total Expenditure': 15033}}",1192833,53474,{'Highways': {'Highways Total Expenditure': 586378}},{'Utilities Current Operation': 2919195},{'Welfare Institution Total Expenditure': 563876}
23,ALASKA,1994,3585262,502363,5751517,5256168,5279241,895989,919487,73785,6203364,99654,1240275,{'Correction Total': 142174},{'Education Total': 1278065},"{'Assistance and Subsidies': 143001, 'Cash and Securities Total': 26396414}",{'Health Total Expenditure': 169672},449398,352454,330229,"{'Intergovernmental Expenditure': 1246725, 'Intergovernmental to Combined and Unallocable': 1378280}",2850626,"{'Natural Resources Construction': 347771, 'Parks': {'Parks Total Expenditure': 16039}}",890766,54946,{'Highways': {'Highways Total Expenditure': 564753}},{'Utilities Current Operation': 3057576},{'Welfare Institution Total Expenditure': 633407}
24,ALASKA,1995,3232262,410937,5599033,5047423,7358377,905812,980048,75078,8288036,101039,1922463,{'Correction Total': 146625},{'Education Total': 1257989},"{'Assistance and Subsidies': 146697, 'Cash and Securities Total': 28233430}",{'Health Total Expenditure': 144182},503961,293414,275631,"{'Intergovernmental Expenditure': 1095556, 'Intergovernmental to Combined and Unallocable': 1301671}",4177013,"{'Natural Resources Construction': 241582, 'Parks': {'Parks Total Expenditure': 14661}}",1218341,55290,{'Highways': {'Highways Total Expenditure': 579041}},{'Utilities Current Operation': 3148468},{'Welfare Institution Total Expenditure': 642672}
25,ALASKA,1996,3176601,447790,5629502,5104670,6818956,1417983,1017117,78896,8253549,99124,1519082,{'Correction Total': 150026},{'Education Total': 1235738},"{'Assistance and Subsidies': 175247, 'Cash and Securities Total': 31309966}",{'Health Total Expenditure': 159218},504055,250887,239608,"{'Intergovernmental Expenditure': 1057577, 'Intergovernmental to Combined and Unallocable': 1290207}",3988383,"{'Natural Resources Construction': 267104, 'Parks': {'Parks Total Expenditure': 14849}}",1014792,53161,{'Highways': {'Highways Total Expenditure': 622849}},{'Utilities Current Operation': 3193946},{'Welfare Institution Total Expenditure': 712735}
26,ALASKA,1997,3290599,439775,5722455,5159684,7424923,1992573,1042225,77924,9438512,96014,1619110,{'Correction Total': 152126},{'Education Total': 1198832},"{'Assistance and Subsidies': 176749, 'Cash and Securities Total': 34320002}",{'Health Total Expenditure': 159454},538748,243028,226689,"{'Intergovernmental Expenditure': 1015071, 'Intergovernmental to Combined and Unallocable': 1366745}",4463181,"{'Natural Resources Construction': 288928, 'Parks': {'Parks Total Expenditure': 15406}}",1113835,56722,{'Highways': {'Highways Total Expenditure': 589804}},{'Utilities Current Operation': 3309084},{'Welfare Institution Total Expenditure': 742419}
27,ALASKA,1998,3799708,382310,5803173,5230194,7973315,1044058,1079799,94334,9039235,116803,1186237,{'Correction Total': 158809},{'Education Total': 1207913},"{'Assistance and Subsidies': 161433, 'Cash and Securities Total': 41008373}",{'Health Total Expenditure': 161108},548390,241349,224744,"{'Intergovernmental Expenditure': 983153, 'Intergovernmental to Combined and Unallocable': 1457572}",5401677,"{'Natural Resources Construction': 264689, 'Parks': {'Parks Total Expenditure': 16992}}",699342,57963,{'Highways': {'Highways Total Expenditure': 549996}},{'Utilities Current Operation': 3486538},{'Welfare Institution Total Expenditure': 758931}
28,ALASKA,1999,3910581,565699,6140559,5571932,5940989,1346244,1222794,84868,7312896,132004,905135,{'Correction Total': 153161},{'Education Total': 1325244},"{'Assistance and Subsidies': 171243, 'Cash and Securities Total': 43253920}",{'Health Total Expenditure': 159419},540189,237443,217867,"{'Intergovernmental Expenditure': 1028890, 'Intergovernmental to Combined and Unallocable': 1678069}",3499070,"{'Natural Resources Construction': 257384, 'Parks': {'Parks Total Expenditure': 13229}}",476452,61190,{'Highways': {'Highways Total Expenditure': 577527}},{'Utilities Current Operation': 3597095},{'Welfare Institution Total Expenditure': 790010}
29,ALASKA,2000,4150498,591147,6611154,5972185,7330352,1228836,1201549,91661,8584447,137735,1423287,{'Correction Total': 173624},{'Education Total': 1319094},"{'Assistance and Subsidies': 170655, 'Cash and Securities Total': 47024485}",{'Health Total Expenditure': 150313},574158,258123,248106,"{'Intergovernmental Expenditure': 1026962, 'Intergovernmental to Combined and Unallocable': 1847481}",4378418,"{'Natural Resources Construction': 250331, 'Parks': {'Parks Total Expenditure': 9055}}",755453,63311,{'Highways': {'Highways Total Expenditure': 639941}},{'Utilities Current Operation': 3990109},{'Welfare Institution Total Expenditure': 914855}
30,ALASKA,2001,4507108,665886,7072000,6413598,6043307,117353,1289816,73417,6185917,134637,1428698,{'Correction Total': 172610},{'Education Total': 1443738},"{'Assistance and Subsidies': 151450, 'Cash and Securities Total': 40923672}",{'Health Total Expenditure': 162273},599117,273339,263801,"{'Intergovernmental Expenditure': 986921, 'Intergovernmental to Combined and Unallocable': 1981919}",2973731,"{'Natural Resources Construction': 254906, 'Parks': {'Parks Total Expenditure': 9648}}",820202,71787,{'Highways': {'Highways Total Expenditure': 649746}},{'Utilities Current Operation': 4395287},{'Welfare Institution Total Expenditure': 1022604}
31,ALASKA,2002,5307941,750832,7402469,6702256,5422566,-421149,1556466,74119,5018805,142050,1089504,{'Correction Total': 173844},{'Education Total': 1566815},"{'Assistance and Subsidies': 157835, 'Cash and Securities Total': 39862552}",{'Health Total Expenditure': 160168},646906,281231,275884,"{'Intergovernmental Expenditure': 1055596, 'Intergovernmental to Combined and Unallocable': 1962089}",2438871,"{'Natural Resources Construction': 240427, 'Parks': {'Parks Total Expenditure': 9625}}",604062,77758,{'Highways': {'Highways Total Expenditure': 687407}},{'Utilities Current Operation': 4510069},{'Welfare Institution Total Expenditure': 1150533}
32,ALASKA,2003,5829798,934820,8121540,7111497,6098669,809970,1997175,70107,6924221,152132,1120133,{'Correction Total': 182046},{'Education Total': 1693672},"{'Assistance and Subsidies': 149123, 'Cash and Securities Total': 42721407}",{'Health Total Expenditure': 168955},947676,265237,256233,"{'Intergovernmental Expenditure': 1091391, 'Intergovernmental to Combined and Unallocable': 1924229}",2631794,"{'Natural Resources Construction': 256006, 'Parks': {'Parks Total Expenditure': 9657}}",690819,83961,{'Highways': {'Highways Total Expenditure': 810807}},{'Utilities Current Operation': 4733293},{'Welfare Institution Total Expenditure': 1312794}
33,ALASKA,2004,5688414,886846,8089240,6834832,6630141,2207887,2193578,83738,8852189,172876,1343191,{'Correction Total': 176642},{'Education Total': 1707847},"{'Assistance and Subsidies': 206582, 'Cash and Securities Total': 45325821}",{'Health Total Expenditure': 118307},1165261,251225,242443,"{'Intergovernmental Expenditure': 1049706, 'Intergovernmental to Combined and Unallocable': 1515060}",2715855,"{'Natural Resources Construction': 247000, 'Parks': {'Parks Total Expenditure': 9527}}",747013,61681,{'Highways': {'Highways Total Expenditure': 828835}},{'Utilities Current Operation': 4529620},{'Welfare Institution Total Expenditure': 1471607}
34,ALASKA,2012,5909456,1295382,11729460,10262809,14324470,642566,2866427,135055,14983393,248432,7049398,{'Correction Total': 312646},{'Education Total': 2595207},"{'Assistance and Subsidies': 186508, 'Cash and Securities Total': 69293234}",{'Health Total Expenditure': 330057},1300476,287494,282462,"{'Intergovernmental Expenditure': 1897331, 'Intergovernmental to Combined and Unallocable': 2344023}",3806254,"{'Natural Resources Construction': 318248, 'Parks': {'Parks Total Expenditure': 20181}}",6002767,146284,{'Highways': {'Highways Total Expenditure': 1071272}},{'Utilities Current Operation': 6762269},{'Welfare Institution Total Expenditure': 2018001}
35,ALASKA,2013,6218363,1460784,12214628,10707194,12280315,1929995,2754412,135720,14227247,249586,5132811,{'Correction Total': 335234},{'Education Total': 2806879},"{'Assistance and Subsidies': 192835, 'Cash and Securities Total': 77825747}",{'Health Total Expenditure': 329296},1298470,267684,263066,"{'Intergovernmental Expenditure': 2032061, 'Intergovernmental to Combined and Unallocable': 2392493}",3769295,"{'Natural Resources Construction': 331740, 'Parks': {'Parks Total Expenditure': 29247}}",4116564,166917,{'Highways': {'Highways Total Expenditure': 1152768}},{'Utilities Current Operation': 6962794},{'Welfare Institution Total Expenditure': 2084000}
36,ALASKA,2014,6048619,1432239,12926157,11484542,10436362,2297628,2810194,141947,12751532,257696,3392869,{'Correction Total': 336833},{'Education Total': 2787377},"{'Assistance and Subsidies': 194111, 'Cash and Securities Total': 82726274}",{'Health Total Expenditure': 308791},1213482,254537,250410,"{'Intergovernmental Expenditure': 2059333, 'Intergovernmental to Combined and Unallocable': 3040004}",3605694,"{'Natural Resources Construction': 358952, 'Parks': {'Parks Total Expenditure': 24164}}",2584288,163869,{'Highways': {'Highways Total Expenditure': 1280403}},{'Utilities Current Operation': 7772455},{'Welfare Institution Total Expenditure': 2106052}
37,ALASKA,2015,5727891,1510811,13006370,11580917,7662076,688506,2642995,115886,8367410,255971,1363350,{'Correction Total': 340726},{'Education Total': 2703274},"{'Assistance and Subsidies': 196622, 'Cash and Securities Total': 81597312}",{'Health Total Expenditure': 283698},1261313,253972,250304,"{'Intergovernmental Expenditure': 2036112, 'Intergovernmental to Combined and Unallocable': 3167319}",3000064,"{'Natural Resources Construction': 375310, 'Parks': {'Parks Total Expenditure': 23949}}",763641,161965,{'Highways': {'Highways Total Expenditure': 1271514}},{'Utilities Current Operation': 7747540},{'Welfare Institution Total Expenditure': 2113211}
38,ALASKA,2016,5953933,1505040,12359938,10797248,7483408,412879,2853202,120081,7914927,260846,896921,{'Correction Total': 332443},{'Education Total': 2787912},"{'Assistance and Subsidies': 155125, 'Cash and Securities Total': 78217287}",{'Health Total Expenditure': 230276},1329941,184886,181709,"{'Intergovernmental Expenditure': 2038078, 'Intergovernmental to Combined and Unallocable': 2174157}",3032500,"{'Natural Resources Construction': 479705, 'Parks': {'Parks Total Expenditure': 15045}}",448537,140154,{'Highways': {'Highways Total Expenditure': 1290503}},{'Utilities Current Operation': 7146868},{'Welfare Institution Total Expenditure': 2372655}
39,ALASKA,2017,5921713,1175827,11301460,9799553,8364456,2580346,3286785,139054,10963492,263120,1208929,{'Correction Total': 316353},{'Education Total': 2524056},"{'Assistance and Subsidies': 158721, 'Cash and Securities Total': 90683629}",{'Health Total Expenditure': 229041},1358157,200904,198252,"{'Intergovernmental Expenditure': 1829640, 'Intergovernmental to Combined and Unallocable': 1385771}",3120238,"{'Natural Resources Construction': 405104, 'Parks': {'Parks Total Expenditure': 15374}}",718980,142360,{'Highways': {'Highways Total Expenditure': 1143967}},{'Utilities Current Operation': 6578211},{'Welfare Institution Total Expenditure': 2724651}
40,ALASKA,2018,5889417,1148486,13196041,11678671,8166711,2116310,3457365,153636,10304503,252970,1656352,{'Correction Total': 435826},{'Education Total': 2575850},"{'Assistance and Subsidies': 156646, 'Cash and Securities Total': 94389132}",{'Health Total Expenditure': 273090},1391996,208821,206450,"{'Intergovernmental Expenditure': 1852209, 'Intergovernmental to Combined and Unallocable': 2238657}",2342903,"{'Natural Resources Construction': 564528, 'Parks': {'Parks Total Expenditure': 23286}}",1053425,185933,{'Highways': {'Highways Total Expenditure': 1325235}},{'Utilities Current Operation': 8437883},{'Welfare Institution Total Expenditure': 2829643}
41,ALASKA,2019,6060930,1217805,11525057,9977079,8700223,1756725,3725035,159757,10477983,278823,1780911,{'Correction Total': 330783},{'Education Total': 2505580},"{'Assistance and Subsidies': 154935, 'Cash and Securities Total': 95757697}",{'Health Total Expenditure': 213255},1418749,203120,201374,"{'Intergovernmental Expenditure': 1805758, 'Intergovernmental to Combined and Unallocable': 1316614}",2475825,"{'Natural Resources Construction': 433478, 'Parks': {'Parks Total Expenditure': 15228}}",1009811,157952,{'Highways': {'Highways Total Expenditure': 1092861}},{'Utilities Current Operation': 6724690},{'Welfare Institution Total Expenditure': 2933004}
42,ARIZONA,1992,2848842,698704,9095781,8235841,7975484,1559241,2110356,279700,9551394,693563,4826755,{'Correction Total': 343958},{'Education Total': 2929886},"{'Assistance and Subsidies': 347934, 'Cash and Securities Total': 13309589}",{'Health Total Expenditure': 360340},831185,193298,186950,"{'Intergovernmental Expenditure': 2996879, 'Intergovernmental to Combined and Unallocable': 992955}",484006,"{'Natural Resources Construction': 148651, 'Parks': {'Parks Total Expenditure': 22436}}",314008,111084,{'Highways': {'Highways Total Expenditure': 954360}},{'Utilities Current Operation': 4027781},{'Welfare Institution Total Expenditure': 1811875}
43,ARIZONA,1993,3052565,565627,9782725,8782381,8808186,2018120,2425897,297468,10843407,736103,5281816,{'Correction Total': 345378},{'Education Total': 3016961},"{'Assistance and Subsidies': 398047, 'Cash and Securities Total': 15550883}",{'Health Total Expenditure': 459287},977808,211542,205281,"{'Intergovernmental Expenditure': 3219572, 'Intergovernmental to Combined and Unallocable': 1004776}",523782,"{'Natural Resources Construction': 142141, 'Parks': {'Parks Total Expenditure': 19597}}",366993,99278,{'Highways': {'Highways Total Expenditure': 920713}},{'Utilities Current Operation': 4410129},{'Welfare Institution Total Expenditure': 2159415}
44,ARIZONA,1994,3170472,622055,10522311,9529970,9706807,2023498,2829890,321227,11748570,775008,5656858,{'Correction Total': 383997},{'Education Total': 3306759},"{'Assistance and Subsidies': 402381, 'Cash and Securities Total': 16737885}",{'Health Total Expenditure': 467729},969074,190138,185615,"{'Intergovernmental Expenditure': 3577730, 'Intergovernmental to Combined and Unallocable': 1131305}",550836,"{'Natural Resources Construction': 142034, 'Parks': {'Parks Total Expenditure': 28868}}",354458,98449,{'Highways': {'Highways Total Expenditure': 1053985}},{'Utilities Current Operation': 4760933},{'Welfare Institution Total Expenditure': 2318661}
